SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,TOTAL PASSENGERS
256,MUSCAT,TRIVANDRUM,23192.0,25502.0,130.3065,383.88559999999995,48694.0
257,NAIROBI,DELHI,9078.0,8742.0,336.951,178.78240000000002,17820.0
258,NAIROBI,MUMBAI,28204.0,31373.0,14.436,139.254,59577.0
259,NARITA,DELHI,8963.0,12059.0,509.8312,267.5822,21022.0
260,NEW YORK,DELHI,45876.0,46111.0,443.18569999999994,474.9167,91987.0
261,NEW YORK,MUMBAI,22713.0,24608.0,422.484,283.6809,47321.0
262,"NEWARK, NEW YORK",DELHI,38387.0,38491.0,359.6923,460.657,76878.0
263,"NEWARK, NEW YORK",MUMBAI,10300.0,10761.0,141.11339999999998,67.82130000000001,21061.0
264,NOTTIMGHAM,BENGALURU,0.0,0.0,0.0,2413.707,0.0
265,NOTTIMGHAM,DELHI,0.0,0.0,0.0,4957.426,0.0
266,PARIS,BENGALURU,17576.0,21472.0,590.112,831.351,39048.0
267,PARIS,DELHI,77934.0,80559.0,1915.6122999999998,2699.906,158493.0
268,PARIS,MUMBAI,26096.0,31284.0,1015.789,1029.727,57380.0
269,PARO,BAGDOGRA,330.0,666.0,0.0,0.0,996.0
270,PARO,DELHI,8251.0,7564.0,1.3440999999999999,6.8053,15815.0
271,PARO,GAYA,1451.0,1222.0,0.0,0.0,2673.0
272,PARO,GUWAHATI,259.0,391.0,0.0,0.0,650.0
273,PARO,KOLKATA,2810.0,3216.0,0.125,0.28179999999999994,6026.0
274,PENANG,CHENNAI,10682.0,10949.0,67.793,0.876,21631.0
275,PHUKET,BENGALURU,17453.0,16586.0,1.561,0.593,34039.0
276,PHUKET,CHENNAI,4764.0,5438.0,0.981,14.643,10202.0
277,PHUKET,DELHI,59220.0,62071.0,111.428,2.264,121291.0
278,PHUKET,HYDERABAD,4000.0,3938.0,56.996,0.784,7938.0
279,PHUKET,KOLKATA,19914.0,21003.0,23.543,69.204,40917.0
280,PHUKET,MUMBAI,29867.0,29879.0,40.678,2.529,59746.0
281,"PORT LOUIS,MAURITIUS",BENGALURU,8057.0,7790.0,1.611,22.281,15847.0
282,"PORT LOUIS,MAURITIUS",CHENNAI,2055.0,2913.0,2.626,100.512,4968.0
283,"PORT LOUIS,MAURITIUS",DELHI,4311.0,4950.0,4.75,242.209,9261.0
284,"PORT LOUIS,MAURITIUS",MUMBAI,18772.0,20800.0,49.205,586.5676,39572.0
285,RANGOON,CHENNAI,1028.0,574.0,0.0,1.259,1602.0
286,RANGOON,DELHI,404.0,424.0,0.009,1.3697000000000001,828.0
287,RANGOON,GAYA,635.0,534.0,0.0,0.0,1169.0
288,RANGOON,KOLKATA,2639.0,2528.0,8.419,11.75883,5167.0
289,RAS AL-KHAIMAH,HYDERABAD,13092.0,14829.0,0.0,2.805,27921.0
290,RAS AL-KHAIMAH,KANNUR,4057.0,4949.0,30.632,111.645,9006.0
291,RAS AL-KHAIMAH,KOCHI,1778.0,2375.0,0.0,28.918,4153.0
292,RAS AL-KHAIMAH,KOZHIKODE,22197.0,28144.0,38.989,551.762,50341.0
293,RAS AL-KHAIMAH,LUCKNOW,3772.0,4356.0,0.0,0.0,8128.0
294,RAS AL-KHAIMAH,MUMBAI,12433.0,14697.0,0.0,72.211,27130.0
295,RIYADH,DELHI,52237.0,51682.0,63.6495,1072.1133,103919.0
296,RIYADH,HYDERABAD,17188.0,17836.0,38.972,42.665,35024.0
297,RIYADH,KANNUR,1811.0,1888.0,36.184,48.757,3699.0
298,RIYADH,KOCHI,15443.0,18661.0,163.326,670.0045,34104.0
299,RIYADH,KOZHIKODE,23442.0,25071.0,52.47,458.5955,48513.0
300,RIYADH,LUCKNOW,8324.0,8135.0,0.0,62.346,16459.0
301,RIYADH,MUMBAI,50716.0,59067.0,28.43,838.2024,109783.0
302,RIYADH,TRIVANDRUM,1797.0,1860.0,29.846,92.755,3657.0
303,ROME,AMRITSAR,1176.0,1574.0,0.0,0.0,2750.0
304,ROME,DELHI,19855.0,22568.0,687.828,866.471,42423.0
305,SALALAH,KOCHI,1620.0,2134.0,99.17,6.641,3754.0
306,SALALAH,KOZHIKODE,3121.0,3767.0,231.8353,168.965,6888.0
307,SAN FRANCISCO,BENGALURU,8002.0,9365.0,41.42889999999999,124.031,17367.0
308,SAN FRANCISCO,DELHI,28167.0,31259.0,159.9443,321.3535,59426.0
309,SAN FRANCISCO,MUMBAI,11298.0,13228.0,92.3498,26.808899999999998,24526.0
310,SEOUL,DELHI,19232.0,23044.0,858.9337999999999,602.886,42276.0
311,SEYCHELLES,MUMBAI,1749.0,2161.0,0.097,10.633,3910.0
312,SHARJAH,AHMEDABAD,13470.0,14156.0,0.0,169.273,27626.0
313,SHARJAH,AMRITSAR,25394.0,25638.0,16.558,5.691,51032.0
314,SHARJAH,BENGALURU,12035.0,13931.0,5.171,187.624,25966.0
315,SHARJAH,CHENNAI,14196.0,14410.0,15.316,165.94,28606.0
316,SHARJAH,COIMBATORE,10529.0,10455.0,1.147,171.41,20984.0
317,SHARJAH,DELHI,41967.0,44473.0,111.1609,394.907,86440.0
318,SHARJAH,GOA,9197.0,10468.0,0.631,81.885,19665.0
319,SHARJAH,HYDERABAD,27556.0,29522.0,1.346,186.149,57078.0
320,SHARJAH,INDORE,6153.0,7359.0,81.046,1.921,13512.0
321,SHARJAH,JAIPUR,14719.0,14381.0,11.18,213.296,29100.0
322,SHARJAH,KANNUR,19452.0,22697.0,57.6133,253.194,42149.0
323,SHARJAH,KOCHI,42136.0,43716.0,166.562,706.6275,85852.0
324,SHARJAH,KOZHIKODE,28676.0,31932.0,2.792,679.2745,60608.0
325,SHARJAH,LUCKNOW,15348.0,15542.0,0.0,239.196,30890.0
326,SHARJAH,MUMBAI,36891.0,43108.0,82.062,394.572,79999.0
327,SHARJAH,NAGPUR,3950.0,4176.0,0.0,5.32,8126.0
328,SHARJAH,SURAT,4687.0,5367.0,207.228,77.7845,10054.0
329,SHARJAH,TIRUCHIRAPALLY,11947.0,11642.0,76.987,1.16,23589.0
330,SHARJAH,TRIVANDRUM,54790.0,58478.0,0.806,800.7945,113268.0
331,SHARJAH,VARANASI,14260.0,14053.0,87.745,0.0,28313.0
332,SHARJAH,VIJAYAWADA,3053.0,3830.0,76.176,157.598,6883.0
333,SHENZHEN,BENGALURU,0.0,0.0,3091.117,0.0,0.0
334,SHENZHEN,DELHI,0.0,0.0,309.923,0.0,0.0
335,SINGAPORE,AHMEDABAD,21802.0,25987.0,1069.05,1191.538,47789.0
